"Racism0031","KARENS BASS WANTS AFRICAN AMERICAN WOMAN TO REPLACE KAMALA HARRIS IN THE SENATE FOR WHAT?
OH, THIS RACISM GOES TO FAR, OH OHHHHHH,
STOP THIS RACISM, PREJUDICE, AND DISCRIMINATION.
MAY GOD BLESS AMERICA! DEVIL, YOU have ALREADY DESTROYED YOURSELF.",,,,
"Racism0032","ugh...i'm tyna be nice and help this bitch but she still has an attitude. i hate black folk .....lmao",,,,
"Racism0033","Aren't we are suppose to treat skin color equally? This is discrimination!
Karen Bass wants African American woman to replace Kamala Harris in the Senate https://t.co/GJGeQJ9Pdl #FoxNews",,,,
"Racism0034","@CMagee01 @HailStateWBK I read that twice, fixed the grammar in my head, then totally dismissed this amount of nonsensical tripe. If you see African American athletes use their platform to shine a light on systemic discrimination and it offends you, that's on you. They were black before sports.",,,,
"Racism0035","This nigga just called a black Japanese girl “african American”, but says theirs no racism or discrimination in Japan because
I am so over Asian people at this point. https://t.co/VOWppFXWY2",,,,
"Racism0036","@mikesmith187 Glad we can come to a mutual understanding without the ""race card"" being thrown in. Art is Art to me rather your white, black, yellow, brown, whatever. But as far as the African American community goes wer have a lot of dope artist that's not ""on the scene""",,,,
"Racism0037","@ChiefsF89991853 @LRTalksSports @jordanburch_58 @LegionHoops @RoadTrippinPod I mean it can’t be for his person, gives back to his community, helped get young African American kids, in school, always is positive and you said it yourself he’s the best basketball player of his generation, so what can you possibly hate him for?",,,,
"Racism0038","@daviseric573 @TonyaLampley @TMZ Yeah always hate African American or Afro American. I rather be called black.",,,,
"Racism0039","tw // shootings, death
Casey Goodson. Another innocent African American lost in the hands of hate. Say his name. This is not a time to stay silent. I will be linking information abt his death as well as petitions and donation links. Please do everything you can to help. https://t.co/4mOmoKycfP",,,,
"Racism0040","I hate when African American males call their boss, boss man. Like addressing him like that ain’t IT! 🙄",,,,
"Racism0041","This is such an important point and the first time I’ve seen it raised. I hate that we are grouped the same in stats bc of this reason. They are not addressing real issues brought up to address African American students, only masking them with inaccurate stats https://t.co/fewko8EXfd",,,,
"Racism0042","@SecPompeo More than 604 african American black people killed by American police in last seven years only in Los Angeles in fake police encounters and Latino Americans Asian Americans Spanish Americans Chinese and Muslims Americans r facing hate and violence by white terrorists Americans.",,,,
"Racism0043","@_sincerelybinki @SaraCalamityJ1 @Felipe_correan @CHANEL Why?
I hate racist and supremacist
There are racist and supremacist in all races
I find it scandalous that there is not ONE white or Asian or South American girl in all these fashion shows in Africa. That is RACIST",,,,
"Racism0044","They hate to African American males doing good💯",,,,
"Racism0045","@rholftroy @cdiacono @Cara Typical ultra far right hate for America's first African American two term president ..Simply Racism  nothing more nothing less .And sick to the gills over History making Vice president elect Kamala Harris .",,,,
"Racism0046","I really don’t understand how a Latinx person and a African American or anybody of color can be racist towards each other. Hate really is just imbedded in all of us. Imagine it, we’re already hated by the people who run the world (yt people) why the hell fight against ourselves?",,,,
